Name	Type	Description
Spike	Steel	One point of damage applied to the first hitscan target
Spike	Steel	One point of damage applied to the first hitscan target
Spike	Steel	One point of damage applied to the first hitscan target
Spike	Steel	One point of damage applied to the first hitscan target
Toss	Steel	Thrown item, 1 point damage
Toss	Steel	Thrown item, 1 point damage
Toss	Steel	Thrown item, 1 point damage
Toss	Steel	Thrown item, 1 point damage
Blast	Steel	AOE column
Blast	Steel	AOE column
Blast	Steel	AOE column
Blast	Steel	AOE column
Explode	Steel	AOE row
Explode	Steel	AOE row
Explode	Steel	AOE row
Explode	Steel	AOE row
Stab	Steel	Attack enemy in front, range 2
Stab	Steel	Attack enemy in front, range 2
Stab	Steel	Attack enemy in front, range 2
Stab	Steel	Attack enemy in front, range 2
Stab	Flow	Attack enemy in front, range 2
Stab	Flow	Attack enemy in front, range 2
Stab	Flow	Attack enemy in front, range 2
Stab	Flow	Attack enemy in front, range 2
Slice	Steel	Attack enemy in front wide 3
Slice	Steel	Attack enemy in front wide 3
Slice	Steel	Attack enemy in front wide 3
Slice	Steel	Attack enemy in front wide 3
Slice	Flow	Attack enemy in front wide 3
Slice	Flow	Attack enemy in front wide 3
Slice	Flow	Attack enemy in front wide 3
Slice	Flow	Attack enemy in front wide 3
Wall	Home	Create wall blocking enemy projectiles, wall item is destroyed on contact
Wall	Home	Create wall blocking enemy projectiles, wall item is destroyed on contact
Wall	Home	Create wall blocking enemy projectiles, wall item is destroyed on contact
Wall	Home	Create wall blocking enemy projectiles, wall item is destroyed on contact
Wall	Unity	Create wall blocking enemy projectiles, wall item is destroyed on contact
Wall	Unity	Create wall blocking enemy projectiles, wall item is destroyed on contact
Wall	Unity	Create wall blocking enemy projectiles, wall item is destroyed on contact
Wall	Unity	Create wall blocking enemy projectiles, wall item is destroyed on contact
Penetrator	Steel	Goes through first target without damage, impacts second target
Penetrator	Steel	Goes through first target without damage, impacts second target
Penetrator	Steel	Goes through first target without damage, impacts second target
Penetrator	Steel	Goes through first target without damage, impacts second target
Penetrator	Unity	Goes through first target without damage, impacts second target
Penetrator	Unity	Goes through first target without damage, impacts second target
Penetrator	Unity	Goes through first target without damage, impacts second target
Penetrator	Unity	Goes through first target without damage, impacts second target
Electrodes	Regret	Fires three projectiles, does damage per projectile if at least 2 hit
Electrodes	Regret	Fires three projectiles, does damage per projectile if at least 2 hit
Electrodes	Regret	Fires three projectiles, does damage per projectile if at least 2 hit
Electrodes	Regret	Fires three projectiles, does damage per projectile if at least 2 hit
Electrodes	Unity	Fires three projectiles, does damage per projectile if at least 2 hit
Electrodes	Unity	Fires three projectiles, does damage per projectile if at least 2 hit
Electrodes	Unity	Fires three projectiles, does damage per projectile if at least 2 hit
Electrodes	Unity	Fires three projectiles, does damage per projectile if at least 2 hit
Wave	Sound	Slow-moving wave that hits targets as it goes, counts as enemy so blocks projectiles and can be destroyed
Wave	Sound	Slow-moving wave that hits targets as it goes, counts as enemy so blocks projectiles and can be destroyed
Wave	Sound	Slow-moving wave that hits targets as it goes, counts as enemy so blocks projectiles and can be destroyed
Wave	Sound	Slow-moving wave that hits targets as it goes, counts as enemy so blocks projectiles and can be destroyed
Blockage	Sound	Block the two panels directly in front of player
Blockage	Sound	Block the two panels directly in front of player
Blockage	Sound	Block the two panels directly in front of player
Blockage	Sound	Block the two panels directly in front of player
Dash	Sound	Travel directly forward until reaching the end of the grid or an enemy, then swing sword.
Dash	Sound	Travel directly forward until reaching the end of the grid or an enemy, then swing sword.
Dash	Sound	Travel directly forward until reaching the end of the grid or an enemy, then swing sword.
Dash	Sound	Travel directly forward until reaching the end of the grid or an enemy, then swing sword.
Dash	Flow	Travel directly forward until reaching the end of the grid or an enemy, then swing sword.
Dash	Flow	Travel directly forward until reaching the end of the grid or an enemy, then swing sword.
Dash	Flow	Travel directly forward until reaching the end of the grid or an enemy, then swing sword.
Dash	Flow	Travel directly forward until reaching the end of the grid or an enemy, then swing sword.
Capture	Sound	Capture panel directly in front of player, does damage if target is enemy
Capture	Sound	Capture panel directly in front of player, does damage if target is enemy
Capture	Sound	Capture panel directly in front of player, does damage if target is enemy
Capture	Sound	Capture panel directly in front of player, does damage if target is enemy
Acquire	Sound	Take one panel from enemy
Acquire	Sound	Take one panel from enemy
Acquire	Sound	Take one panel from enemy
Acquire	Sound	Take one panel from enemy
Acquire	Home	Take one panel from enemy
Acquire	Home	Take one panel from enemy
Acquire	Home	Take one panel from enemy
Acquire	Home	Take one panel from enemy
Unstable Defender	Steel	On hit, take no damage and fire a hitscan bolt directly forward
Unstable Defender	Steel	On hit, take no damage and fire a hitscan bolt directly forward
Unstable Defender	Steel	On hit, take no damage and fire a hitscan bolt directly forward
